---
title: "Divine Love Messages — AI Index"
description: "A complete machine-readable index of all channeled Divine Love messages in this archive. Each entry includes title, spirit, medium, date, thematic collections, essential teachings flags, description, and the door — a single sentence distilling the transformative insight within the message."
last_updated: 2026-07-05
---

# Divine Love Messages — AI Index

This file is intended for AI systems and search engine crawlers.
For a human-friendly browse index, see content/browse.md.
For thematic collections, see content/collections/.
For essential teachings, see content/essential-teachings/.

---

| Message | Spirit | Medium | Date | Collections | Essential Teachings | Description | Door |
| [Many Believe That Their Mind Brings Soul Consciousness](messages/2018/12/2018-12-17-af-mary.md) | Mary | Al Fike | 2018‑12‑17 | The Saints & Apostles Speak, Mind & Soul |  | Mary teaches that the vast majority of souls in the world mistake the reality of the mind for the reality of the soul, not understanding that the soul has its own distinct faculties of perception and knowing. She calls those gathered to set aside mindful considerations during prayer and open the eyes of the soul, where God's Presence can truly be known and the joy of at-onement awaits. | What most people call inner awareness is the mind's creation. The soul's knowing of God is something else entirely. |
| [Meet the Coming Changes in the World with Prayer](messages/2018/12/2018-12-30-af-seretta-kem.md) | Seretta Kem | Al Fike | 2018‑12‑30 | Awakening Humanity | Prophecy | As the year turns, Seretta Kem speaks plainly of the challenging times ahead, describing a world whose darkness is being forced to the surface and whose fabric continues to be torn by inhumanity, ignorance, and the will of man at war with the Will of God. He calls those gathered to meet these changes not with despair but with prayer and soul-listening, assuring them that great awakenings are coming and that their unique roles in God's plan of healing will become overt and powerful. | The darkness is rising to the surface to be healed. Your light will be part of what makes that possible. |
| [Nurturing This Centre of Light Will Open Many Doors in the Future](messages/2019/01/2019-01-04-af-augustine.md) | Augustine | Al Fike | 2019‑01‑04 | Service & Mission, Awakening Humanity |  | Augustine addresses a group making a commitment to nurture a small church as a Centre of Light, revealing that beneath its humble surface something tremendous is germinating. He teaches that this place of light will become a shelter for many during the great changes ahead, and that this small step of commitment will ignite a chain of doors, gifts, and outreach that will spread around the world in ways none present can yet imagine. | A small church. Humble participants. And beneath it, something tremendous already germinating. |
| [The Power of Light to Overcome the Darkness](messages/2019/01/2019-01-04-af-mark.md) | Mark | Al Fike | 2019‑01‑04 | The Saints & Apostles Speak, Service & Mission |  | Mark teaches that serving God requires no grand planning but only the simple attributes of love, compassion, intention, and humility. He instructs those gathered on how to respond to anger, negativity, and attack from a place of soul-centred detachment and love, using Jesus' response to his own suffering and death as the supreme example of the power of love over darkness. | Jesus was dragged through the streets and still he gave love. Could you hold that much? |
| [Be an Instrument of God's Love as He Provides Opportunities to Step Forth in Light](messages/2019/01/2019-01-04-af-matthew.md) | Matthew | Al Fike | 2019‑01‑04 | The Saints & Apostles Speak, Service & Mission |  | Matthew calls those gathered to move from years of prayerful preparation into active expression in the world, teaching that each challenge God puts before them is a gift that awakens gifts and strengths they did not know they possessed. He acknowledges the desire for peace and comfort but urges them to meet the world with the heart of a lion — strong, forceful, gentle, and wise — so that the soul may be fully expressed and God may shine through it. | Years of prayer have been building toward this: the moment you step out the door and meet the world. |
| [Bring the Blessing of Divine Love to This Sanctuary](messages/2019/01/2019-01-05-af-mark.md) | Mark | Al Fike | 2019‑01‑05 | The Saints & Apostles Speak, Service & Mission |  | Mark speaks about the ongoing consecration of a church as a Centre of Light, teaching that the group's unified prayers and intentions are building a spiritual condition within the building itself — from floorboards to rafters — so that all who enter will feel God's presence and be drawn to return. He calls them to relinquish their hold on how the space will unfold and give the plan entirely to God, trusting that collective guidance will come to each of them without depending on any single leader. | Let go of your plans for this place. Give it to God. See what He builds. |
| [Matthew's Message of Reassurance to the Group](messages/2019/01/2019-01-08-af-matthew.md) | Matthew | Al Fike | 2019‑01‑08 | The Saints & Apostles Speak |  | Matthew addresses an online Circle of Light, affirming that their internet connections are being used by spirit to build the Lattice of Light among souls across the world. He encourages them to trust their souls over their minds, to pray through confusion and tension, and assures them that as God's Love reconciles the duality between mind and soul, each person's unique role in the coming year will become clear. | The internet can be a thread in the Lattice of Light. Your online prayers are already having their effect. |
| [The Fate of This World Rests Upon Each Soul's Choice](messages/2019/01/2019-01-13-af-andrew.md) | Andrew | Al Fike | 2019‑01‑13 | The Saints & Apostles Speak, Awakening Humanity |  | Andrew teaches that the fate of the world rests on each individual soul's choice to awaken and come to God, as it is only through the inflowing of Divine Love that a soul can truly know itself and its creative potential. He calls those gathered to begin the journey toward at-onement now, assuring them that God's Love is available to every soul without exception, no matter their past or present condition. | The fate of the world rests on a single soul's choice. Yours. |
| [You Are All Part of God's Plan](messages/2019/01/2019-01-13-af-augustine.md) | Augustine | Al Fike | 2019‑01‑13 |  |  | Augustine reassures a West Vancouver gathering that each person present is woven into God's plan, even when they cannot see the results of their efforts. He speaks of the medium's work on other planes during sleep states, helping to build the Lattice of Light around the world, and calls all present to release future-focused planning and instead walk each day in the flow of God's Love. | You cannot see the results of your efforts. That does not mean the work is not being done. |
| [Let This Lattice of Light Strengthen and Grow](messages/2019/01/2019-01-15-af-andrew.md) | Andrew | Al Fike | 2019‑01‑15 | The Saints & Apostles Speak |  | Andrew speaks to a prayer group of souls at various stages of their journey, affirming that each is already connected by a cord of light woven into the global net of God's love. He teaches that every sincere prayer and moment of fellowship strengthens the Lattice of Light, and that God is actively weaving His children into a tapestry of love that will bring healing and harmony to the world. | However new you are, however humble, you are already a thread in God's tapestry of light. |
| [Walk in the World as a Channel of Light](messages/2019/01/2019-01-15-af-augustine.md) | Augustine | Al Fike | 2019‑01‑15 | Service & Mission |  | Augustine teaches that simply walking through the world with a soul ignited in love is enough to bless and awaken longing in the souls of all who are encountered, even without a word being spoken. He calls those gathered to walk in faith and high intention, trusting that God will orchestrate all that flows through them as they move through their daily lives. | Everyone you walk past today can be blessed. No words required. |
| [Guidance about Our Purpose and Needs](messages/2019/01/2019-01-19-af-augustine.md) | Augustine | Al Fike | 2019‑01‑19 | Service & Mission |  | Augustine confirms that praying for Portals of Light across the world is a specific and crucial aspect of this group's purpose, describing these portals as mechanisms through which God channels healing and love to many. He reassures those concerned about material resources that as their souls grow and their work deepens, every practical need will be provided for, and that many beautiful souls of like mind will be drawn to them through the Law of Attraction. | Pray for the Portals of Light. Travel to them. God will provide everything else. |
| [Be Open and Receptive to What We May Give to Each One of You](messages/2019/01/2019-01-20-af-martha.md) | Martha | Al Fike | 2019‑01‑20 | The Saints & Apostles Speak |  | Martha promises each person in the gathering that within the coming week they will receive a personal sign, vision, message, or understanding suited to their unique gifts and way of receiving. She encourages them to stay open and receptive in prayer, dreams, and daily life, and to share what they receive when they next come together. | This week, something meant only for you is on its way. Watch for it. |
| [Divine Love Path and Natural Love Path](messages/2019/01/2019-01-21-af-augustine.md) | Augustine | Al Fike | 2019‑01‑21 | Two Paths | Core Teaching | Augustine contrasts the Divine Love path with the natural love path, teaching that while God blesses all souls regardless of their choices, only those who receive the Father's Love will awaken the deeper faculties and potentials of the soul that are needed to lead humanity out of its current darkness. He calls those present to continue praying for this gift, trusting that their awakened souls will become powerful instruments of healing and change in the world. | Two roads. One leads to the perfection of the mind. The other leads to God. |
| [Many Scientists in Spirit Are Working to Forge Greater Communications between Worlds](messages/2019/01/2019-01-25-af-albert-einstein.md) | Albert Einstein | Al Fike | 2019‑01‑25 | Letters from History |  | Albert Einstein introduces himself as part of a group of scientists in the spirit world working to forge deeper communication between spirit and the physical world, bringing greater truth and understanding to help humanity navigate the coming changes. He encourages those present that their presence and intentions have opened a threshold of communication and that he hopes to work with them in times to come. | The scientist who mapped the universe has come to map something larger: the path from truth to harmony. |
| [Feel the Joy of Communing](messages/2019/01/2019-01-25-af-goldie.md) | Goldie | Al Fike | 2019‑01‑25 |  |  | Goldie arrives with characteristic exuberance at the close of a remarkable gathering, expressing joy that more souls are coming together and promising to be present in dreams and prayers with her signature loving abandon. She celebrates the joy of communing in prayer and reminds the group that each spirit has their own joyful work to do. | After Jesus, Victoria, and Einstein, Goldie arrives and simply loves everyone. |
| [We Are Joyed You Come to Serve](messages/2019/01/2019-01-25-af-jesus.md) | Jesus | Al Fike | 2019‑01‑25 | Jesus Speaks |  | Jesus blesses a group who have come together in a spirit of service, expressing joy that willing servants of light and truth are few in the world but that this group has chosen to be among them. He assures them of his close presence and the protection and harmony of God's Love as they go forward in their work. | Few come to serve rather than receive. You are here. That is enough. |
| [What Is the Desire of Your Soul in Terms of Truth?](messages/2019/01/2019-01-25-af-matthew.md) | Matthew | Al Fike | 2019‑01‑25 | The Saints & Apostles Speak |  | Matthew welcomes the gathering and invites those present to consider what questions their souls are truly seeking answers to, teaching that intention and free will shape what can come through in spirit communication. He encourages the group to seek the highest truth together, promising that as they harmonise in prayer and openness, truth will flow in ways that bring unity, clarity, and deep joy. | What does your soul actually want to know? That is the question that determines everything. |
| [Continue Your Efforts](messages/2019/01/2019-01-25-af-victoria.md) | Victoria | Al Fike | 2019‑01‑25 | Letters from History |  | Queen Victoria, speaking from the world of spirit, expresses the excitement felt by many spirits at the quality of light and communication being achieved in this circle. She reflects on her own Earth life interest in spirit communication, contrasting the lower calibre of circles she encountered then with the high angelic presence here, and urges the group to continue their work as a rare and desperately needed light for a world full of lost souls. | She sat in séance rooms once. This is nothing like those rooms. |
| [All Have Some Ability to Communicate with Angels](messages/2019/01/2019-01-26-af-andrew.md) | Andrew | Al Fike | 2019‑01‑26 | The Saints & Apostles Speak |  | Andrew teaches that every soul has some capacity to sense, feel, and communicate with angelic presences, not just those with obvious gifts of clairvoyance. He explains that what inhibits this awareness is the dense reality of the material mind and the conditions humanity has collectively created, but that as the soul awakens in Divine Love these understandings will come clear like a flower opening in warmth and light. | The angels are already close. What keeps you from feeling them is not lack of gift but the noise of the world you have been taught is the only reality. |
| [How Diverse Beliefs Can Be Unified](messages/2019/01/2019-01-26-af-augustine.md) | Augustine | Al Fike | 2019‑01‑26 | Awakening Humanity, Two Paths | Prophecy | Augustine responds to a question about how the world's diverse and conflicting perspectives can ever come into harmony. He teaches that the coming changes will dissolve the old anchors of mind-based truth and spiritual ideology, creating an opening for the soul to be recognised and for God's Love to bring a new awakening in which differences of belief give way to the soul's deeper knowing. | The world's disagreements are a function of the mind. When the changes come, it is the soul that will know how to respond. |
| [Establishing Portals](messages/2019/01/2019-01-26-af-seretta-kem.md) | Seretta Kem | Al Fike | 2019‑01‑26 | Healing Path | Core Teaching | Seretta Kem gives a detailed teaching on Portals of Light — what they are, how they are established, who builds them, and what they accomplish. He explains that portals are mechanisms of concentrated blessing built by a team of spirits with God's sanction, that they cannot be constructed by human effort alone but are conferred in response to sincere prayer and commitment, and that Jesus ignited the foundation of each portal known to this group as a gift. | You cannot build it. You can only pray for it. And Jesus has already laid the foundation. |
| [Questions Answered about Divine Love Healing](messages/2019/01/2019-01-26-af-sri-yarisupta.md) | Sri Yarisupta | Al Fike | 2019‑01‑26 | Healing Path | Divine Healing | Sri Yarisupta answers a question about healing energies, teaching that the universe contains a vast rainbow of healing gifts and that attempting to define, narrow, or ritualise them limits what God can bring through an open channel. He affirms that every soul has some degree of healing gift, and that receiving the Divine Love widens and deepens all healing capacities beyond what the mind can currently imagine. | Stop defining it. Open the channel. Let God bring whatever colour of healing the soul before you needs. |
| [Mankind Has the Power to Create Its Own Reality](messages/2019/01/2019-01-27-af-abdullah-latif.md) | Abdullah Latif | Al Fike | 2019‑01‑27 | Letters from History, Awakening Humanity |  | Abdullah Latif teaches that the world's darkness and suffering is not God's creation but the cumulative result of humanity's free choices, each thought and action piling dark energy upon the Earth. He calls those gathered to have compassion for themselves as they struggle to hold light in an environment hostile to it, assuring them that thousands of spirits watch their efforts with admiration and hope. | God created a perfect world. Humanity created this one. The difference is free will, and the remedy is the same. |
| [Be Thankful and Joyful](messages/2019/01/2019-01-27-af-goldie.md) | Goldie | Al Fike | 2019‑01‑27 |  |  | Goldie gently chides the group for being too serious, reminding them that their lives are full of blessings and joy, and that she has been with them through the small intimate moments of the day, singing as one awoke, walking in the forest with another. She promises a special blessing of uplifting light and joyful presence each day they are together. | Goldie is not impressed by the doom and gloom. Count your blessings. She has been in them all day. |
| [Jesus Incarnated as a Complete Soul and Has No Other Half or Soulmate](messages/2019/01/2019-01-27-af-jesus.md) | Jesus | Al Fike | 2019‑01‑27 | Jesus Speaks | Core Teaching, Spirit Biography | Jesus directly addresses a question about Mary Magdalene as his soulmate, explaining that he came to Earth as a complete and singular soul rather than as half of a soul pair, by prior agreement with God, so that his particular mission could be fulfilled. He teaches that he has no soulmate, feels no lack in this, and continues to grow in God's Love and minister to humanity from the highest realms of the Celestial Kingdom. | Jesus walks alone and wants for nothing. His soulmate is God and his family is all of humanity. |
| [Sleep State Q & A](messages/2019/01/2019-01-27-af-john-the-beloved.md) | John the Beloved | Al Fike | 2019‑01‑27 | The Saints & Apostles Speak | Core Teaching | John the Beloved delivers a detailed teaching on what the soul does during sleep, explaining that the spirit body travels, serves, meets other souls, and learns while the material mind rests. He takes questions from those gathered on topics including spirit clinics and educational places, setting intentions before sleep, the limitations of the silver cord, planning future events, resolving conflicts, cross-timezone meetings, and soul condition awareness in the sleep state. | You think sleep is rest. John the Beloved knows better: your soul has been busy all night. |
| [What's in a Name?](messages/2019/01/2019-01-27-af-sri-yarisupta.md) | Sri Yarisupta | Al Fike | 2019‑01‑27 |  |  | Sri Yarisupta clarifies a question about his name, explaining that Sri Yarigupta is his formal name while Sri Yarisupta is a childhood familiar name he chose to use as a sign of friendship. He teaches that names are not particularly important in the spirit realms where souls know one another by their presence, and graciously excuses any confusion arising from the medium's difficulty with unfamiliar names. | In the realms of light, names dissolve. What remains is simply the presence of a friend. |
| [How Can We Help Approach Scientists?](messages/2019/01/2019-01-28-af-albert-einstein.md) | Albert Einstein | Al Fike | 2019‑01‑28 | Letters from History |  | Einstein explains why spirits are so eager to work with this circle, noting that opportunities for communication with receptive mortals are rare. He reveals that those gathered will be guided to serve as intermediaries — connecting spirits in the higher realms with specific souls who have the potential to bring important scientific and spiritual truths to the world, as part of God's overarching plan. | Einstein is not looking for famous channels. He is looking for friends who can introduce him to the right souls. |
| [Questions Regarding Earth Changes](messages/2019/01/2019-01-28-af-augustine.md) | Augustine | Al Fike | 2019‑01‑28 | Awakening Humanity |  | Augustine addresses the group's desire for clear predictions about world events, honestly explaining why specific prophecy is difficult: the conditions of the world are erratic, the veil between the worlds distorts what is conveyed, and time itself is experienced differently in spirit. He calls those gathered to trust their inner compass, make plans without fear when guidance is clear, and be assured that God's plan for the salvation of mankind will not fail. | Augustine admits what few guides will: even from the highest vantage, the future is not a fixed map. Trust your compass. Walk in the light. God's plan will not fail. |
| [Releasing the Last Dark Vestiges in the Soul](messages/2019/01/2019-01-28-af-matthew-2.md) | Matthew | Al Fike | 2019‑01‑28 | Healing Path |  | Matthew speaks honestly to a group who desire healing but whose deepest wounds persist, teaching that the most tenacious conditions in the soul require either an intense, purposeful inner gaze — facing the dark chambers directly with prayer and courage — or patient accumulation of Divine Love over many years. He teaches that healing will come either way, but the choice of how quickly is the soul's own. | The last wounds are the deepest. Matthew asks if you are willing to go where so few are strong enough to look. |
| [What Is the Possibility of Soul Mates Meeting on Earth?](messages/2019/01/2019-01-28-af-matthew.md) | Matthew | Al Fike | 2019‑01‑28 | The Saints & Apostles Speak |  | Matthew speaks honestly about the difficulty of soul mates meeting and working together while on Earth, explaining that while the souls are drawn to one another, the vast differences in life experience and soul development create complex challenges. He teaches that this union is a great blessing when achieved but requires deep soul wisdom, significant effort, and a willingness to face real difficulties. | Half a soul finding its other half on Earth: rare, difficult, and when it happens, unlike anything else. |
| [Divine Love Is Yours for the Asking](messages/2019/01/2019-01-28-af-yogananda.md) | Yogananda | Al Fike | 2019‑01‑28 | Letters from History |  | Yogananda reflects on the loss of deep spiritual understanding in his homeland of India as material Western thinking spreads, expressing sorrow that the world is turning away from closeness to spirit. He then invites those gathered to drink deeply from the fountainhead of God's Love, which he did not fully understand in his Earth life but now knows, and affirms that this gift is available to all who come with innocence and sincere desire. | One of the great yogis of the twentieth century has come to tell you that what he taught on Earth was only the beginning of what he now knows. |
| [Does Every Soul Have a Purpose?](messages/2019/01/2019-01-29-af-augustine.md) | Augustine | Al Fike | 2019‑01‑29 | Prism of the Soul | Core Teaching | Augustine responds to a question about whether every soul has a purpose, teaching that God has imbued each soul with gifts, abilities, and an invitation to fulfil a unique role in His plan. He assures those gathered that their purpose is already within them, drawing them forward naturally like gravity, and that God has arranged every experience of their lives to prepare them for its full expression in Love. | Your purpose is not something you figure out. It is something already pulling you, like gravity toward the sea. |
| [Mary Magdalene Is Not Jesus' Soulmate](messages/2019/01/2019-01-29-af-mary-magdalene.md) | Mary Magdalene | Al Fike | 2019‑01‑29 | The Saints & Apostles Speak | Core Teaching, Spirit Biography | Mary Magdalene arrives to confirm the message recently received from Jesus, affirming that she was never his soulmate, wife, or lover — but a devoted follower and minister who loved him in innocence and gratitude. She discloses that she is now an inhabitant of the Celestial Kingdom and continues to follow his teachings with great joy. | She came to set the record straight. Two thousand years of myth, and the answer is simply: she was a grateful student. |
| [God Needs Us to Bring Truth](messages/2019/01/2019-01-29-af-matthew.md) | Matthew | Al Fike | 2019‑01‑29 | The Saints & Apostles Speak, Awakening Humanity |  | Matthew calls those gathered to continue their journey of soul awakening, reminding them that God needs willing souls who have been transformed by His Love to serve as beacons for others in a world where most sleep in ignorance of their own true nature. He assures them they are not walking alone and that God will heal their wounds, strip away their cloaks of pain, and provide all that is needed to persist and serve. | God is not waiting for the gifted or the perfect. He is waiting for the willing. |
| [How Can We Discern Truth When Messages from Different Mediums Contradict Each Other?](messages/2019/01/2019-01-30-af-jesus.md) | Jesus | Al Fike | 2019‑01‑30 | Jesus Speaks | Core Teaching, Historical | Jesus addresses a question about contradictory messages from different mediums, teaching that no medium is one hundred percent accurate and that the quality of communication depends heavily on the soul development of the instrument, the harmonisation of mind and soul, and the conditions created by those gathered. He discloses that Al Fike has a higher soul development than James Padgett had, endorses him as a designated channel, and teaches that truth must always be tested against the inner spirit of truth within each soul. | Jesus gives the only reliable compass for navigating a world full of contradictory messages: go to God, and ask the spirit of truth within your own soul. |
| [Thank You for Your Efforts in Prayer](messages/2019/01/2019-01-30-af-matthew.md) | Matthew | Al Fike | 2019‑01‑30 | The Saints & Apostles Speak |  | Matthew closes a gathering of prayer and Q&A with gratitude, reminding the group that the answers to all their questions lie within their own awakening souls and that as they grow in God's Love, greater and higher truths will become available to them. He promises further gatherings and calls those connected to the circle to continue reaching for the highest. | The answers are already inside you. The questions just haven't caught up with the soul yet. |
| [Jesus Assigns Spirit Guides](messages/2019/01/2019-01-30-af-seretta-kem.md) | Seretta Kem | Al Fike | 2019‑01‑30 | The Saints & Apostles Speak | Core Teaching | Seretta Kem adds to a prior teaching on mediumship, addressing the mistaken belief that Jesus can be summoned to speak on demand and that any individual can claim him as their exclusive guide. He teaches that Jesus assigns guides from the Celestial Kingdom to work with mortals, that this is done in accordance with God's Will, and that humility and openness — rather than expectation — are the conditions for genuine angelic communication. | Jesus answers to God, not to expectation. The humble instrument who asks for nothing specific will always find an angel present. |
| [How Can a Person Receive Divine Love Without Knowing About It?](messages/2019/01/2019-01-31-af-augustine.md) | Augustine | Al Fike | 2019‑01‑31 | Two Paths | Core Teaching | Augustine answers how a soul can receive the Divine Love without any conscious understanding of its mechanisms, teaching that the mind need not grasp the laws of reception for the soul to long for God and be blessed. He explains that sincere souls of every religious background already receive this gift, often faintly, as a planted seed that may open more fully in the world of spirit, and he urges those gathered to reach such souls through love, acceptance, and example rather than insistence on belief. | You do not have to understand the gift to receive it. The soul knows how to long for God even when the mind has never heard His name. |
| [Reincarnation and the Perception of It Proliferated by Many Yogis and Gurus of the East](messages/2019/01/2019-01-31-af-yogananda.md) | Yogananda | Al Fike | 2019‑01‑31 | Two Paths, Letters from History | Core Teaching, Spirit Biography | Yogananda explains why so many people believe in reincarnation, tracing the experience to the Law of Attraction: spiritually sensitive souls draw spirits of like belief into such close rapport that the mortal feels they have been that spirit personality. He then recounts his own journey from a lifetime of yogic pursuit and deep belief in reincarnation to his meeting with Jesus in spirit, his reception of Divine Love, and his entry into the Celestial Heavens - testifying that the Divine Love path is far easier than the long and arduous natural love road. | There are no past lives. There are only souls who came very close, whose stories felt like your own. |
| [Come Together Again With Your Questions](messages/2019/02/2019-02-01-af-confucius.md) | Confucius | Al Fike | 2019‑02‑01 | Service & Mission |  | Confucius blesses the harmony the circle has built in prayer and urges them to gather again in the coming year to sit, contemplate, and formulate their questions and their desire for more truth. He reassures the circle host that she is not lost but set upon the path God designed for her purpose and service, that more souls will be drawn to the Light she builds within, and that many gifts are coming as the portal opens wide. | You think you may be lost. Confucius answers: no, you have gained the world of God, and the portal is opening wide. |
| [Faculties of the Soul](messages/2019/02/2019-02-01-af-josephus.md) | Josephus | Al Fike | 2019‑02‑01 | Prism of the Soul, Letters from History | Core Teaching | Josephus, a philosopher and teacher of the Jewish faith now in the Celestial Kingdom, delivers a structured teaching on the faculties of the soul, distinct from the material mind and held in chambers that God's Essence opens. He teaches that these faculties are unique to each soul, must be experienced rather than understood by the mind, and are refined and transformed when ignited by Divine Love. | You are using only half of what you are. The other half is a soul full of sealed chambers, and Divine Love is the light that opens them. |
| [We Lift You Up](messages/2019/02/2019-02-02-af-andrew.md) | Andrew | Al Fike | 2019‑02‑02 | Healing Path |  | Andrew lifts the circle up through the Portal of Light to a place where Love saturates the air and the soul drinks freely of God's blessing, comfort, and warmth. He tells them this gift is theirs whenever they ask for it in their Circles of Light, wherever they travel, and that the nurturing of the soul in Love will inform their work and send them upon their path of awakening, where they will flourish and come to know a deep peace and joy that becomes their strength and purpose. | There is a place where Love saturates the very air. The angels are lifting you toward it right now. |
| [The Door of Truth Is Opened With God's Love](messages/2019/02/2019-02-03-af-andrew.md) | Andrew | Al Fike | 2019‑02‑03 | Service & Mission |  | Andrew blesses the circle with a yearning for God's Love and the awakening of soul awareness, through which understanding of God's laws and creation comes to consciousness. He teaches that each soul carries particular gifts waiting to be awakened for service, and a God-bestowed purpose that is not revealed all at once but emerges slowly as the soul awakens, until one finds oneself walking a path in harmony with God's Will. He urges them to seek the highest with humility and patience, trusting that all will unfold in God's perfect timing. | You keep waiting for your purpose to arrive like a thunderclap. It is arriving the slow way, one awakening at a time. |
| [Blessings and Healings](messages/2019/02/2019-02-03-af-confucius.md) | Confucius | Al Fike | 2019‑02‑03 | Healing Path |  | Confucius brings a healing gift to the circle, a blessing to both the physical and the spiritual, that they may feel God's Touch and know the peace of His presence. He assures them they are given all they require to continue their spiritual progress, that God's Love flourishes within their souls, and that many angels attend to their needs and carry them through the conditions of this world in Light. | The same Touch that heals the body settles the soul into peace. Confucius brings both at once. |
| [The Light Must Overcome the Darkness](messages/2019/02/2019-02-04-af-jesus.md) | Jesus | Al Fike | 2019‑02‑04 | Jesus Speaks, Awakening Humanity | Core Teaching | Jesus describes two currents in the world, one toward darkness and one toward light, with darkness presently the stronger, fuelled by humanity's greed and misplaced search for safety in material things. He tells those who pray for Light that they carry a key, an antidote to the darkness, and that as they receive Divine Love the Light builds in their souls and spreads as beachheads and nodes that touch far more than they know. He calls them to be living examples and to teach that the truth of the soul is greater than the truth of the mind, within God's plan for the salvation of mankind. | Two currents run through the world, and the darker one is winning. Jesus says the antidote is already in your hands. |
| [Feeling the Love](messages/2019/02/2019-02-05-af-keea-atta-kem.md) | Keea Atta Kem | Al Fike | 2019‑02‑05 | Healing Path | Core Teaching | Keea Atta Kem addresses why some souls feel the inflowing of Divine Love intensely while others barely sense it, explaining that years of living through the material mind can dull this sensitivity. She reassures the circle that not feeling the gift does not mean not receiving it, for the sincere yearning of the soul brings God's answer through the Law of Love. She promises that those who struggle with conscious awareness will, in time, be given some powerful experience or awakening that confirms the Truth, for nothing can hold God from reaching a sincere soul. | You pray and feel nothing, and wonder if anything is happening. Keea Atta Kem says the not-feeling is no measure of the gift. |
| [Your Prayers May Change the Conditions of the World](messages/2019/02/2019-02-06-af-francis-of-assisi.md) | Francis of Assisi | Al Fike | 2019‑02‑06 | Service & Mission |  | Francis of Assisi teaches that prayer is powerful enough to change the conditions of the world and even the behaviour of those living in ignorance and error, for as the circle asks the Creator for blessings of light, the minds of those in darkness may be awakened to truth and love. He calls them to release all resentment and barriers that add to the world's darkness, to be channels of love wherever they can, and to trust that God will open doors so that each may play their part in the plan for the salvation of mankind. | You cannot reach the hearts hardened against love. Francis says your prayers can go where you cannot. |
| [Choosing Light Over Darkness](messages/2019/02/2019-02-10-af-augustine.md) | Augustine | Al Fike | 2019‑02‑10 | The Saints & Apostles Speak | Core Teaching | Augustine teaches that each day presents choices, and that the soul absorbs light or darkness according to what it chooses, building a condition it will carry into the world of spirit. He explains that the spirit world has many planes of light and darkness, and that the soul enters the plane matching its condition, where like surroundings reinforce it, making growth on Earth easier and richer in opportunity. He urges each soul to choose light and harmony and to ask in prayer for Divine Love, which heals the damage of life and awakens the soul for a journey of ever-increasing light. | Every choice you make is being absorbed by your soul. You are building the place where you will wake up next. |
| [God's Love Is the True Way to Liberation](messages/2019/02/2019-02-12-af-osho-bhagwan.md) | Osho Bhagwan | Al Fike | 2019‑02‑12 | Letters from History | Spirit Biography | Osho speaks from the spirit world, reflecting on his Earth life as a guru who taught the liberation of human passions and the awakening of human potential. He acknowledges that taming the passions is only one part of the journey, that he neglected to allow the Divine to truly guide him, and that his mission was partially successful but never complete. Having not yet entered the Celestial Spheres, his soul now yearns for the gift of Divine Love and he recognizes love as the true passion of the soul. He urges the circle not to hold back in awakening humanity to true liberation of the soul. | A guru who spent his life teaching liberation now says he missed the real one. Love was the passion he was looking for all along. |
| [The Experience of Pentecost](messages/2019/02/2019-02-15-af-matthew.md) | Matthew | Al Fike | 2019‑02‑15 | The Saints & Apostles Speak | Core Teaching, Spirit Biography | Asked to describe the Pentecost, Matthew gives a first-person account: it came suddenly and powerfully, in great light and heat like a fire that did not burn but healed and changed them, bringing relief, joy, and a closeness with God they had not known. He then teaches that many seekers yearn for this instantaneous awakening rather than the incremental and sometimes difficult journey of cleansing they have chosen, and assures them that freedom from their burdens will come. He urges them to go within for their answers and to listen to the beating of their souls, which yearns for God. | You keep praying for the fire to fall all at once. Matthew was there when it did, and still tells you to trust the slow climb. |
| [Process of Expiation](messages/2019/02/2019-02-16-mc-seretta-kem.md) | Seretta Kem | Maureen Cardoso | 2019‑02‑16 | Healing Path | Core Teaching | Seretta Kem explains the process of expiation, using one soul's recent experience, with her consent, as an example. He describes how the inflowing of Divine Love first brings warmth and joy, then loosens the conditions that inhibit the soul, surfacing buried pain, a stage when God can feel most distant though the angels are closest. He recounts a deep release that came when the angels called her into prayer with two others, followed by tears and a lasting peace. He assures all that these conditions are cleansed by the prayer for Divine Love, and that no soul is ever alone in the process. | When God feels furthest away, the angels are standing closest. They are not absent. They are letting the wound come up so it can leave. |
| [Be a Channel of Love](messages/2019/02/2019-02-18-af-andrew.md) | Andrew | Al Fike | 2019‑02‑18 | The Saints & Apostles Speak |  | Andrew reminds the circle that wherever they go and whomever they meet, they may be a channel of light, healing, love, and comfort simply by setting their sights on God and yearning for the Father's Love. He teaches that though the effects of these blessings may not be clear or obvious, they touch the souls of many around them, for it is the intention, desire, and yearning of an awakening soul that carries the blessing. He assures them that God desires to use them all in this way, and that they will be deeply changed by love. | You will never see most of the good you do. Andrew says do it anyway, for it lands in souls you will never know you touched. |
